record_id,duration_hours,model_id,previous_reported_crps_mm,legacy_formula_crps_mm,corrected_crps_mm,zero_mass_term_mean_mm,scoring_version
edouard_2026090112_12h_f00_f12,12,gnn_csgd,,1.3899070758865937,1.3896705525038588,-0.00023652338273486326,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f06_f18,12,ann_operational,1.6133091193085762,1.613309119308576,1.6127066075319147,-0.0006025117766615891,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f06_f18,12,gnn_csgd,,1.7502224658500807,1.7498956730900097,-0.0003267927600706125,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f12_f24,12,ann_operational,3.1884119668961244,3.1884119668961244,3.187695420728401,-0.0007165461677227,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f12_f24,12,gnn_csgd,,3.3214229871670864,3.3210560708801338,-0.0003669162869525984,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f18_f30,12,ann_operational,4.624860325164577,4.624860325164577,4.6240250176504025,-0.0008353075141750877,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f18_f30,12,gnn_csgd,,4.79539703260614,4.7948242027029835,-0.0005728299031569046,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f24_f36,12,ann_operational,3.870541096280898,3.870541096280898,3.869523218637266,-0.0010178776436325654,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f24_f36,12,gnn_csgd,,3.86162844569149,3.860853139952588,-0.0007753057389026124,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f30_f42,12,ann_operational,3.3790667573544586,3.3790667573544586,3.3782595067101626,-0.0008072506442967065,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f30_f42,12,gnn_csgd,,3.3073787340647067,3.306903981197553,-0.0004747528671538777,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f36_f48,12,ann_operational,2.7453500467974274,2.7453500467974274,2.74456117236968,-0.0007888744277472195,csgd_crps_zero_mass_v1
edouard_2026090112_12h_f36_f48,12,gnn_csgd,,2.7636626168545764,2.7633255521380455,-0.0003370647165308967,csgd_crps_zero_mass_v1
edouard_2026090212_12h_f00_f12,12,ann_operational,2.790822542636432,2.790822542636432,2.790265232702762,-0.0005573099336697449,csgd_crps_zero_mass_v1
edouard_2026090212_12h_f00_f12,12,gnn_csgd,,2.8577831191001617,2.857350495343427,-0.00043262375673476115,csgd_crps_zero_mass_v1
edouard_2026090212_12h_f06_f18,12,ann_operational,2.602448333246431,2.602448333246431,2.6017065243454294,-0.00074180890100138,csgd_crps_zero_mass_v1
edouard_2026090212_12h_f06_f18,12,gnn_csgd,,2.595110773118653,2.594415975952091,-0.0006947971665624715,csgd_crps_zero_mass_v1
edouard_2026090212_12h_f12_f24,12,ann_operational,2.0483646549860346,2.048364654986034,2.047501270981664,-0.0008633840043706623,csgd_crps_zero_mass_v1
edouard_2026090212_12h_f12_f24,12,gnn_csgd,,2.085576223572291,2.084927559425112,-0.00064866414717908,csgd_crps_zero_mass_v1
edouard_2026090212_12h_f18_f30,12,ann_operational,2.406489473130575,2.406489473130575,2.4055593805424316,-0.0009300925881433037,csgd_crps_zero_mass_v1
edouard_2026090212_12h_f18_f30,12,gnn_csgd,,2.3816533159016893,2.3809769736779427,-0.0006763422237461447,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f00_f24,24,ann_operational,4.101688759118138,4.101688759118138,4.101070854605282,-0.0006179045128567733,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f00_f24,24,gnn_csgd,,4.410080301461111,4.409793370145957,-0.0002869313151528242,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f06_f30,24,ann_operational,5.619601096647576,5.619601096647576,5.618967357722948,-0.0006337389246277389,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f06_f30,24,gnn_csgd,,5.980146167790396,5.979769564097038,-0.00037660369335677156,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f12_f36,24,ann_operational,6.814888002761667,6.814888002761666,6.814127280752812,-0.0007607220088533872,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f12_f36,24,gnn_csgd,,7.101485374006979,7.1009119832243766,-0.0005733907826033206,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f18_f42,24,ann_operational,7.661883658846747,7.661883658846747,7.661164655183254,-0.0007190036634920599,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f18_f42,24,gnn_csgd,,7.893487577720736,7.892690250244846,-0.0007973274758878139,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f24_f48,24,ann_operational,5.97130127778587,5.97130127778587,5.970450871807321,-0.000850405978547812,csgd_crps_zero_mass_v1
edouard_2026090112_24h_f24_f48,24,gnn_csgd,,6.034502423227707,6.033433511898316,-0.0010689113293897736,csgd_crps_zero_mass_v1
edouard_2026090212_24h_f00_f24,24,ann_operational,4.120641323403308,4.120641323403307,4.12017836406592,-0.00046295933738674174,csgd_crps_zero_mass_v1
edouard_2026090212_24h_f00_f24,24,gnn_csgd,,4.229741413929325,4.229237932240218,-0.0005034816891080994,csgd_crps_zero_mass_v1
edouard_2026090212_24h_f06_f30,24,ann_operational,4.0301218376612935,4.030121837661293,4.029545548537398,-0.0005762891238951102,csgd_crps_zero_mass_v1
edouard_2026090212_24h_f06_f30,24,gnn_csgd,,3.9424782121034787,3.9417995294126844,-0.0006786826907945366,csgd_crps_zero_mass_v1
