record_id,duration_hours,model_id,previous_reported_crps_mm,legacy_formula_crps_mm,corrected_crps_mm,zero_mass_term_mean_mm,scoring_version
6h_06476,6,gnn_csgd,,1.1515332144998072,1.15151776768483,-1.544681497741717e-05,csgd_crps_zero_mass_v1
6h_06477,6,025,3.8467488064264233,3.8467488064264233,3.845903031224504,-0.0008457752019196863,csgd_crps_zero_mass_v1
6h_06477,6,0125,3.861458137525424,3.861458137525424,3.8607941173764613,-0.0006640201489627253,csgd_crps_zero_mass_v1
6h_06477,6,3km,3.819669861052211,3.819669861052211,3.818915076366349,-0.0007547846858619667,csgd_crps_zero_mass_v1
6h_06477,6,gnn_csgd,,3.8891468471424875,3.8891465153326923,-3.3180979446892024e-07,csgd_crps_zero_mass_v1
6h_06478,6,025,4.948706265874255,4.948706265874255,4.94793883537046,-0.0007674305037952818,csgd_crps_zero_mass_v1
6h_06478,6,0125,4.944784161695614,4.944784161695614,4.944123312446795,-0.000660849248817649,csgd_crps_zero_mass_v1
6h_06478,6,3km,4.9204634338198785,4.9204634338198785,4.919425942696903,-0.0010374911229751654,csgd_crps_zero_mass_v1
6h_06478,6,gnn_csgd,,4.872701212725539,4.872323516806789,-0.00037769591874955207,csgd_crps_zero_mass_v1
6h_06479,6,025,2.1959264872386712,2.1959264872386712,2.195137742964809,-0.0007887442738618786,csgd_crps_zero_mass_v1
6h_06479,6,0125,2.18349931832221,2.18349931832221,2.182722924955066,-0.000776393367144083,csgd_crps_zero_mass_v1
6h_06479,6,3km,2.187690867811814,2.187690867811814,2.186606598451525,-0.0010842693602882878,csgd_crps_zero_mass_v1
6h_06479,6,gnn_csgd,,2.2213114673681034,2.2203389216226412,-0.0009725457454622916,csgd_crps_zero_mass_v1
6h_06480,6,025,0.466104836321162,0.46610483632116195,0.46538940931081063,-0.0007154270103513802,csgd_crps_zero_mass_v1
6h_06480,6,0125,0.47875351836776986,0.47875351836776975,0.47800836462638563,-0.0007451537413841326,csgd_crps_zero_mass_v1
6h_06480,6,3km,0.4664112676386543,0.46641126763865426,0.4655151463542343,-0.000896121284419911,csgd_crps_zero_mass_v1
6h_06480,6,gnn_csgd,,0.45263321475335777,0.45248579185669097,-0.00014742289666674262,csgd_crps_zero_mass_v1
6h_06481,6,025,1.718190538009912,1.718190538009912,1.717334999948881,-0.0008555380610313237,csgd_crps_zero_mass_v1
6h_06481,6,0125,1.7075748220847615,1.7075748220847615,1.706901100103787,-0.0006737219809746442,csgd_crps_zero_mass_v1
6h_06481,6,3km,1.6932827028553352,1.6932827028553352,1.6925352762455215,-0.0007474266098137311,csgd_crps_zero_mass_v1
6h_06481,6,gnn_csgd,,1.7102152491466727,1.7102073168204701,-7.932326202381368e-06,csgd_crps_zero_mass_v1
6h_06482,6,025,2.791866688955219,2.791866688955219,2.791312058431303,-0.000554630523916254,csgd_crps_zero_mass_v1
6h_06482,6,0125,2.811775855657583,2.811775855657583,2.8112846331434524,-0.0004912225141307902,csgd_crps_zero_mass_v1
6h_06482,6,3km,2.8058693119854996,2.8058693119854996,2.8049690055506113,-0.0009003064348868058,csgd_crps_zero_mass_v1
6h_06482,6,gnn_csgd,,2.8405007129420916,2.840363062561842,-0.0001376503802498499,csgd_crps_zero_mass_v1
6h_06483,6,025,4.252561571164439,4.252561571164439,4.251618448888903,-0.0009431222755379727,csgd_crps_zero_mass_v1
6h_06483,6,0125,4.249174041595837,4.249174041595837,4.248103134991017,-0.001070906604819239,csgd_crps_zero_mass_v1
6h_06483,6,3km,4.257751227120703,4.257751227120703,4.256649431686924,-0.0011017954337787033,csgd_crps_zero_mass_v1
6h_06483,6,gnn_csgd,,4.154924268071407,4.153803251697966,-0.0011210163734416286,csgd_crps_zero_mass_v1
6h_06484,6,025,0.6799842964518255,0.6799842964518252,0.6793182484107695,-0.0006660480410556221,csgd_crps_zero_mass_v1
6h_06484,6,0125,0.6740460692010969,0.6740460692010969,0.6734201780008477,-0.0006258912002491937,csgd_crps_zero_mass_v1
6h_06484,6,3km,0.6749101363764165,0.6749101363764165,0.6742228127343702,-0.0006873236420464245,csgd_crps_zero_mass_v1
6h_06484,6,gnn_csgd,,0.6838688799150914,0.6838688746303296,-5.2847616373780775e-09,csgd_crps_zero_mass_v1
6h_06485,6,025,0.5740857291353467,0.5740857291353466,0.5733875344130476,-0.0006981947222990935,csgd_crps_zero_mass_v1
6h_06485,6,0125,0.5805277370035641,0.5805277370035641,0.5799495596935733,-0.0005781773099907585,csgd_crps_zero_mass_v1
6h_06485,6,3km,0.5819631016859917,0.5819631016859917,0.581238926958989,-0.0007241747270027691,csgd_crps_zero_mass_v1
6h_06485,6,gnn_csgd,,0.580193977337484,0.5801939491022087,-2.8235275217202603e-08,csgd_crps_zero_mass_v1
6h_06486,6,025,3.593550152572198,3.593550152572198,3.5929203728852763,-0.000629779686921468,csgd_crps_zero_mass_v1
